motion_coherence,reaction_time,correct,prior_std,raw_response_time
0.12,1.71561100000145,0,10,263.873527000002
0.12,1.61279900000045,1,20,339.602631000002
0.24,1.05855800001882,0,20,363.798655999999
0.06,1.01440900000125,1,20,583.970689000002
0.06,1.03369799999928,1,10,632.977531
0.06,1.17034599999897,1,20,277.638758999994
0.12,0.925489000015659,1,10,31.2029289999919
0.06,1.16572699999961,1,10,372.669242000004
0.24,3.06590300000971,1,40,48.8108940000093
0.06,1.48688299999958,1,80,384.590872999999
0.12,1.36664700000256,1,80,354.730362000002
0.06,1.24862800000119,0,80,539.683890999993
0.12,1.52216799999587,0,80,276.540127999993
0.12,1.9547360000015,1,80,112.607023
0.12,2.12223600000107,0,80,378.321879000001
0.12,1.02857700000459,0,40,401.953866000011
0.06,1.96290500000759,0,80,69.2982520000078
0.06,0.955042000001413,1,40,478.977855999998
0.06,1.25125800000023,0,20,611.234673000001
0.06,1.44121700001415,0,40,330.738791000011
0.06,0.898572000005515,1,10,319.253393000006
0.12,1.59969300000193,0,80,352.43914
0.24,1.23641100001987,1,10,441.698719000007
0.12,1.11090100000729,0,20,252.462585000001
0.06,1.85267500000009,0,80,585.682816
0.12,1.80353800000739,1,10,264.970700000005
0.12,1.04931499999657,0,40,44.2188230000029
0.24,1.03000000001339,1,10,469.157405000005
0.06,1.63086700000167,1,20,293.542213000001
0.12,2.45964200000162,1,80,385.452074000001
0.06,0.754118000011658,0,40,151.33900800001
0.06,1.88228000000163,1,40,215.820992000001
0.24,1.9038070000006,0,40,301.557246
0.12,1.83870700001717,1,40,385.642656000011
0.06,1.20660300001327,1,40,16.0347750000074
0.06,0.858363000006648,1,40,500.553887000002
0.12,1.22231199999987,1,80,507.215004
0.12,1.25022200000058,0,80,224.122010000001
0.12,1.22389000000112,0,80,396.8253
0.06,1.66301200000089,1,10,54.8175600000013
0.06,1.26351900000009,0,10,651.757503000001
0.06,2.0665910000007,0,40,441.589255000001
0.06,1.74088200000187,0,40,563.061278000001
0.06,1.76720600000044,1,80,406.983145
0.24,1.49720900002285,0,20,17.9026550000126
0.06,0.872161999999662,1,40,120.041811000003
0.24,1.04662400000961,0,10,289.130944000004
0.24,0.983445999998366,0,80,450.202395
0.12,1.26763900000151,0,80,96.3772710000012
0.12,2.01683500000036,0,40,409.789244
0.24,0.916283000002295,1,20,336.474661000002
0.12,1.21872199999052,0,10,159.106820999994
